"utterance","keywords","relevances"
" 10万なるほど。もう一つあのカメラは見てもいいですか？","カメラ;10万;一","1.0;0.0;0.0"
" 55000円なるほど他のカメラってありますか？","カメラ;他;55000円;55000","0.5285298824310303;0.4714701175689697;0.0;0.0"
" ISO っていうのがついてる。","ISO","1.0"
" USB の使い方わかんなくて。","USB;使い方","0.6005114912986755;0.39948850870132446"
" あちらの方は24.0ピクセルでソニーのこれ。","あちら;方;ソニー;24.0","0.378566175699234;0.31537774205207825;0.30605608224868774;0.0"
" ありがとうありがとうございました","",""
" ありがとうございました。","",""
" ありがとうございました。snk！","snk!","1.0"
" ありがとうございました。いらっしゃいませ。","",""
" ありがとうございましたお願いします","",""
" ありがとうございます。","",""
" ありがとうございます。カメラを探してるんですけど人物主に取りたいなと思ってますはいはい","カメラ;人物主","0.5335742235183716;0.4664258062839508"
" ありがとうございますお願いします","",""
" ありがとうございますでは在庫確認してまいります少々お待ちくださいませ 前者は SONY の苦労をお求めのお客様ですお願いします。","在庫;客;前者;SONY;苦労","0.24204285442829132;0.22025075554847717;0.20512141287326813;0.17507879436016083;0.15750618278980255"
" あーなるほどなるほどわかりましたはいはい","",""
" いたします。","",""
" おいくらでしたっけもうちょっといいのってありますか","",""
" お値段っておいくらですか？","値段","1.0"
" お値段は、","値段","1.0"
" お台場がありますよね解像度はいくらぐらいですか？","お台場;解像度","0.5666723847389221;0.43332764506340027"
" お安いですよね。 初心者で使えるようなカメラで他にもありますか？","他;初心者;カメラ","0.3822106420993805;0.3650152385234833;0.25277411937713623"
" お客様お待たせしましたいらキャノンの一眼レフカメラになります。","客;キャノン;カメラ;一眼レフ","0.324007511138916;0.24750001728534698;0.23575735092163086;0.19273513555526733"
" お客様お待たせしました写真の方出来上がっておりますこちらご確認ください問題ございませんでしたら USB を取りくださいありがとうございました。","客;写真;USB;方;問題","0.25273486971855164;0.22159479558467865;0.20799978077411652;0.17634063959121704;0.14132991433143616"
" お客様こちらに今度シルバーになります辛いねただいました。","客;シルバー","0.5930863618850708;0.4069136381149292"
" お待たせいたしましたソニーのミラーレスのブラックとなりますありがとうございました","ミラーレス;ソニー;ブラック","0.3812527358531952;0.36565715074539185;0.25309011340141296"
" お待たせしましたこちらの一眼レフカメラの黒となっております。","カメラ;一眼レフ;黒","0.3767894208431244;0.3589126169681549;0.2642979621887207"
" お待たせしましたキャノンの一眼レフカメラとなっておりますありがとうございました","キャノン;一眼レフ;カメラ","0.38049352169036865;0.31588980555534363;0.3036166727542877"
" お待たせしましたキャノンの一眼レフカメラ買ってあります。","一眼レフ;キャノン","0.509920597076416;0.4900793731212616"
" お待たせしましたソニーのシルバーとなっておりますありがとうございました","ソニー;シルバー","0.5270549654960632;0.47294503450393677"
" お待たせしましたソニーの黒となっておりますありありありがとうございました","ソニー;黒","0.5270549654960632;0.47294503450393677"
" お願いします。","",""
" かしこまりました。外にいたのでご案内いたします。 こちらになります操作方法はお分かりですか？","外;操作方法","0.609294056892395;0.390705943107605"
" かしこまりました。寂し関東で承っておりますので、早くこちらになります。","寂し関東","1.0"
" かしこまりましたサービスカウンターにご案内いたしますこちらになります店長の現場のお客様で","サービスカウンター;客;現場;店長","0.3087005019187927;0.25723546743392944;0.2501092553138733;0.18395477533340454"
" かしこまりましたサービスカウンターにご案内いたしますこちらになります船長現場のお客様です","サービスカウンター;客;船長現場","0.37508466839790344;0.3165683150291443;0.3083469867706299"
" かしこまりました係を選んで参りますので、少々お待ちくださいませ。選挙フォトプリントのお客様です。","係;選挙フォトプリント;客","0.4706340730190277;0.2740161716938019;0.2553497552871704"
" かしこまりました外プリントには寝てしまったのでこちらになります。 中国とプリントになります操作方法って分かりですか？","外プリント;操作方法;中国;プリント","0.447125643491745;0.20903576910495758;0.1798955500125885;0.16394303739070892"
" こちら USB となります。","USB","1.0"
" こちらがキヤノンの EOS 5 d mark iii です。","キヤノン;EOS 5 d mark;iii;5","0.3669658899307251;0.32985422015190125;0.30317986011505127;0.0"
" こちらになります。こちらが Canon EOS 5 d mark iii で商品だったります。","Canon EOS 5 d mark iii;商品;5","0.5270914435386658;0.4729085862636566;0.0"
" こちらになりますご案内いたします","",""
" こちらになります操作方法は分かりですか？","操作方法","1.0"
" こちらは一応55000円でこちらよりは少しお買い求めやすくはなっております。","55000円;55000","0.0;0.0"
" こちらニコンのコンパクトデジタルカメラとなっておりまして、大変あの自動機能とか色々付いておりまして、失敗とかも少なくて8価格も安くてあの大変あの使いやすいカメラになっております。","コンパクトデジタルカメラ;ニコン;カメラ;自動機能;価格;失敗;8","0.21326002478599548;0.20853380858898163;0.17243553698062897;0.1495702564716339;0.14846262335777283;0.10773774981498718;0.0"
