 10万なるほど。もう一つあのカメラは見てもいいですか？,"100,000 I see. Can I have another look at that camera?"
 55000円なるほど他のカメラってありますか？," Are there other cameras worth 55,000 yen?"
 ISO っていうのがついてる。, It has an ISO.
 USB の使い方わかんなくて。, I don't know how to use USB.
 あちらの方は24.0ピクセルでソニーのこれ。, That one is 24.0 pixels and Sony's.
 ありがとうありがとうございました, thank you thank you
 ありがとうございました。, thank you very much.
 ありがとうございました。snk！, thank you very much. snk!
 ありがとうございました。いらっしゃいませ。, thank you very much. welcome.
 ありがとうございましたお願いします, thank you very much
 ありがとうございます。, thank you.
 ありがとうございます。カメラを探してるんですけど人物主に取りたいなと思ってますはいはい," thank you. I'm looking for a camera, but I'd like to focus on the person."
 ありがとうございますお願いします, Thank you
 ありがとうございますでは在庫確認してまいります少々お待ちくださいませ 前者は SONY の苦労をお求めのお客様ですお願いします。, Thank you very much. Please wait a moment.
 あーなるほどなるほどわかりましたはいはい,"Ah, I see."
 いたします。, I will.
 おいくらでしたっけもうちょっといいのってありますか, How much was it? Do you have something a little better?
 お値段っておいくらですか？, How much is your price?
 お値段は、, The price is
 お台場がありますよね解像度はいくらぐらいですか？," You have Odaiba, right? What is the resolution?"
 お安いですよね。 初心者で使えるようなカメラで他にもありますか？," It's cheap, isn't it? Are there other cameras that can be used by beginners?"
 お客様お待たせしましたいらキャノンの一眼レフカメラになります。," Sorry to keep you waiting, I will use a Canon single-lens reflex camera."
 お客様お待たせしました写真の方出来上がっておりますこちらご確認ください問題ございませんでしたら USB を取りくださいありがとうございました。, Thank you for waiting.
 お客様こちらに今度シルバーになります辛いねただいました。, I'm sorry to hear that you're going to be silver next time.
 お待たせいたしましたソニーのミラーレスのブラックとなりますありがとうございました, Thank you for waiting. It will be Sony's mirrorless black. Thank you
 お待たせしましたこちらの一眼レフカメラの黒となっております。,"Sorry to keep you waiting, this single-lens reflex camera is black."
 お待たせしましたキャノンの一眼レフカメラとなっておりますありがとうございました, Sorry to keep you waiting. Thank you.
 お待たせしましたキャノンの一眼レフカメラ買ってあります。," Sorry to keep you waiting, I bought a Canon SLR camera."
 お待たせしましたソニーのシルバーとなっておりますありがとうございました, Sorry to keep you waiting. Thank you very much.
 お待たせしましたソニーの黒となっておりますありありありがとうございました, Thank you for waiting.
 お願いします。, please.
 かしこまりました。外にいたのでご案内いたします。 こちらになります操作方法はお分かりですか？," I got it. I'm outside, so I'll let you know. Do you know how to operate it?"
 かしこまりました。寂し関東で承っておりますので、早くこちらになります。," I got it. I'm taking care of it in lonely Kanto, so I'll be here soon."
 かしこまりましたサービスカウンターにご案内いたしますこちらになります店長の現場のお客様で, I will guide you to the polite service counter.
 かしこまりましたサービスカウンターにご案内いたしますこちらになります船長現場のお客様です, will guide you to the proper service counter. This is the captain.
 かしこまりました係を選んで参りますので、少々お待ちくださいませ。選挙フォトプリントのお客様です。, Please wait a moment as we will select a proper person in charge. This is a customer of the election photo print.
 かしこまりました外プリントには寝てしまったのでこちらになります。 中国とプリントになります操作方法って分かりですか？," I fell asleep in the outside print, so here it is. Do you know how to operate it?"
 こちら USB となります。, This is USB.
 こちらがキヤノンの EOS 5 d mark iii です。, Here is the Canon EOS 5d mark iii.
 こちらになります。こちらが Canon EOS 5 d mark iii で商品だったります。, Here you will. This is the Canon EOS 5d mark iii and the product.
 こちらになりますご案内いたします, We will guide you here
 こちらになります操作方法は分かりですか？, Do you know how to operate it?
 こちらは一応55000円でこちらよりは少しお買い求めやすくはなっております。," This one is 55,000 yen, which is a little easier to buy than this one."
 こちらニコンのコンパクトデジタルカメラとなっておりまして、大変あの自動機能とか色々付いておりまして、失敗とかも少なくて8価格も安くてあの大変あの使いやすいカメラになっております。,"This is a compact digital camera from Nikon, and it comes with a lot of automatic functions."
